Env [ 7. 24.],Env [ 7. 34.],Env [ 7. 44.],Env [12. 24.],Env [12. 34.],Env [12. 44.],Env [17. 24.],Env [17. 34.],Env [17. 44.]
0.50,0.50,0.50,0.50,0.50,0.47,0.45,0.65,0.50
0.50,0.50,0.50,0.50,0.50,0.47,0.45,0.68,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.68,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.72,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.58,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.62,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.62,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.56,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.60,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.64,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.68,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.71,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.74,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.67,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.70,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.63,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.57,0.50
0.55,0.50,0.50,0.50,0.55,0.47,0.45,0.51,0.50
0.55,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.60,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.64,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.57,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.51,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.56,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.61,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.65,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.68,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.71,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.74,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.67,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.60,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.54,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.59,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.53,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.58,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.52,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.51,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.56,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.60,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.68,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.71,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.74,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.67,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.60,0.50
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.60,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.68,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.71,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.67,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.71,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.67,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.70,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.73,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.66,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.59,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.64,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.67,0.55
0.47,0.50,0.50,0.50,0.50,0.47,0.45,0.70,0.55
0.47,0.55,0.50,0.50,0.50,0.47,0.45,0.70,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.70,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.73,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.76,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.68,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.62,0.55
0.47,0.60,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.64,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.57,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.61,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.65,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.59,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.55,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.60,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.64,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.58,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.52,0.55
0.47,0.53,0.50,0.50,0.50,0.47,0.45,0.52,0.49
0.47,0.58,0.50,0.50,0.50,0.47,0.45,0.52,0.49
0.47,0.52,0.50,0.50,0.50,0.47,0.45,0.52,0.49
0.47,0.47,0.50,0.50,0.50,0.47,0.45,0.52,0.49
0.47,0.47,0.50,0.50,0.50,0.47,0.45,0.57,0.49
0.47,0.47,0.50,0.50,0.50,0.47,0.45,0.61,0.49
0.47,0.47,0.50,0.50,0.50,0.47,0.45,0.55,0.49
0.47,0.47,0.45,0.50,0.50,0.47,0.45,0.55,0.49
0.47,0.47,0.45,0.50,0.50,0.47,0.45,0.49,0.49
0.47,0.47,0.45,0.55,0.50,0.47,0.45,0.49,0.49
0.47,0.47,0.45,0.59,0.50,0.47,0.45,0.49,0.49
0.47,0.47,0.45,0.59,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.63,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.67,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.70,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.73,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.76,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.78,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.80,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.82,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.74,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.77,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.79,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.81,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.83,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.85,0.50,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.85,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.86,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.78,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.80,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.82,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.84,0.45,0.52,0.45,0.49,0.49
0.47,0.47,0.45,0.84,0.45,0.52,0.45,0.49,0.44
0.47,0.47,0.45,0.84,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.75,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.78,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.80,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.82,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.84,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.75,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.78,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.70,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.73,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.76,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.68,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.71,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.64,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.68,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.71,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.74,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.67,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.60,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.64,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.58,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.52,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.57,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.61,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.65,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.68,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.72,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.74,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.77,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.79,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.71,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.74,0.45,0.47,0.45,0.49,0.44
0.47,0.47,0.45,0.67,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.67,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.60,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.64,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.68,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.61,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.65,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.58,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.62,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.66,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.70,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.73,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.75,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.78,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.70,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.63,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.67,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.70,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.63,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.57,0.45,0.47,0.45,0.49,0.44
0.42,0.47,0.45,0.57,0.45,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.57,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.51,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.56,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.50,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.55,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.50,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.55,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.49,0.40,0.47,0.41,0.49,0.44
0.42,0.47,0.45,0.49,0.40,0.47,0.41,0.54,0.44
0.42,0.42,0.45,0.49,0.40,0.47,0.41,0.54,0.44
0.42,0.42,0.45,0.49,0.40,0.47,0.41,0.49,0.44
0.42,0.42,0.45,0.54,0.40,0.47,0.41,0.49,0.44
0.42,0.42,0.45,0.54,0.40,0.47,0.41,0.49,0.40
0.42,0.42,0.45,0.49,0.40,0.47,0.41,0.49,0.40
0.42,0.42,0.45,0.49,0.40,0.47,0.41,0.44,0.40
0.42,0.42,0.45,0.44,0.40,0.47,0.41,0.44,0.40
0.42,0.42,0.45,0.44,0.40,0.52,0.41,0.44,0.40
0.42,0.42,0.45,0.44,0.40,0.47,0.41,0.44,0.40
0.42,0.42,0.45,0.44,0.40,0.47,0.46,0.44,0.40
0.42,0.42,0.45,0.44,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.50,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.55,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.59,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.53,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.58,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.62,0.40,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.62,0.46,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.66,0.46,0.42,0.46,0.44,0.40
0.42,0.42,0.45,0.66,0.46,0.42,0.42,0.44,0.40
0.42,0.42,0.45,0.59,0.46,0.42,0.42,0.44,0.40
0.42,0.42,0.45,0.63,0.46,0.42,0.42,0.44,0.40
0.42,0.42,0.45,0.57,0.46,0.42,0.42,0.44,0.40
0.42,0.42,0.45,0.61,0.46,0.42,0.42,0.44,0.40
0.42,0.42,0.45,0.61,0.46,0.42,0.42,0.44,0.36
0.42,0.42,0.45,0.65,0.46,0.42,0.42,0.44,0.36
0.42,0.42,0.45,0.69,0.46,0.42,0.42,0.44,0.36
0.42,0.42,0.45,0.69,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.62,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.66,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.59,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.63,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.57,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.51,0.57,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.51,0.51,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.51,0.46,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.55,0.46,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.50,0.46,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.46,0.46,0.48,0.42,0.44,0.36
0.42,0.42,0.45,0.46,0.46,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.46,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.51,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.56,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.61,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.65,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.58,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.62,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.66,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.69,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.63,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.66,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.70,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.63,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.66,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.70,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.73,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.66,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.59,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.63,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.57,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.61,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.55,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.59,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.64,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.67,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.60,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.54,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.59,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.63,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.57,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.51,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.56,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.50,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.55,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.60,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.54,0.41,0.43,0.42,0.44,0.36
0.42,0.42,0.45,0.54,0.41,0.43,0.42,0.44,0.32
0.42,0.42,0.45,0.48,0.41,0.43,0.42,0.44,0.32
0.42,0.42,0.45,0.44,0.41,0.43,0.42,0.44,0.32
0.42,0.42,0.40,0.44,0.41,0.43,0.42,0.44,0.32
0.42,0.42,0.40,0.44,0.41,0.43,0.42,0.40,0.32
0.42,0.42,0.40,0.39,0.41,0.43,0.42,0.40,0.32
0.42,0.42,0.40,0.39,0.41,0.39,0.42,0.40,0.32
0.42,0.42,0.40,0.39,0.41,0.39,0.42,0.46,0.32
0.42,0.48,0.40,0.39,0.41,0.39,0.42,0.46,0.32
0.42,0.43,0.40,0.39,0.41,0.39,0.42,0.46,0.32
0.42,0.43,0.40,0.39,0.41,0.39,0.42,0.51,0.32
0.42,0.43,0.40,0.39,0.41,0.39,0.42,0.56,0.32
0.42,0.43,0.40,0.39,0.41,0.39,0.42,0.60,0.32
0.42,0.43,0.40,0.39,0.41,0.39,0.42,0.54,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.54,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.59,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.63,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.57,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.61,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.65,0.32
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.65,0.29
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.68,0.29
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.72,0.29
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.72,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.74,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.77,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.79,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.81,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.83,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.75,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.67,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.71,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.74,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.66,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.60,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.64,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.67,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.61,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.65,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.68,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.71,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.64,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.58,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.62,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.66,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.59,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.53,0.26
0.38,0.43,0.40,0.39,0.41,0.39,0.42,0.48,0.26
0.38,0.49,0.40,0.39,0.41,0.39,0.42,0.48,0.26
0.38,0.44,0.40,0.39,0.41,0.39,0.42,0.48,0.26
0.38,0.44,0.40,0.39,0.41,0.39,0.42,0.43,0.26
0.38,0.39,0.40,0.39,0.41,0.39,0.42,0.43,0.26
0.38,0.39,0.40,0.39,0.41,0.39,0.42,0.49,0.26
0.38,0.39,0.40,0.39,0.41,0.39,0.42,0.54,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.54,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.49,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.54,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.48,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.43,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.42,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.48,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.53,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.58,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.52,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.57,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.61,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.65,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.68,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.72,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.74,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.67,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.60,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.64,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.58,0.39,0.26
0.38,0.36,0.40,0.39,0.41,0.39,0.62,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.39,0.62,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.39,0.66,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.39,0.59,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.39,0.53,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.53,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.58,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.62,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.66,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.69,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.62,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.66,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.60,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.64,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.57,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.52,0.39,0.26
0.38,0.36,0.40,0.39,0.47,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.39,0.53,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.39,0.57,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.39,0.52,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.39,0.46,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.35,0.46,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.35,0.52,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.35,0.47,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.35,0.42,0.45,0.46,0.39,0.26
0.38,0.36,0.40,0.35,0.42,0.45,0.42,0.39,0.26
0.38,0.36,0.40,0.35,0.42,0.51,0.42,0.39,0.26
0.38,0.36,0.40,0.35,0.42,0.56,0.42,0.39,0.26
