Env [ 7. 24.],Env [ 7. 34.],Env [ 7. 44.],Env [12. 24.],Env [12. 34.],Env [12. 44.],Env [17. 24.],Env [17. 34.],Env [17. 44.]
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.55,0.48
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.49,0.48
0.45,0.50,0.50,0.55,0.50,0.50,0.50,0.49,0.48
0.45,0.50,0.50,0.55,0.50,0.50,0.50,0.49,0.43
0.45,0.50,0.50,0.55,0.50,0.50,0.50,0.54,0.43
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.54,0.43
0.45,0.50,0.50,0.50,0.50,0.50,0.50,0.59,0.43
0.45,0.50,0.50,0.50,0.55,0.50,0.50,0.59,0.43
0.45,0.50,0.50,0.50,0.55,0.50,0.50,0.53,0.43
0.45,0.50,0.50,0.50,0.60,0.50,0.50,0.53,0.43
0.45,0.50,0.50,0.50,0.60,0.50,0.50,0.58,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.58,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.62,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.66,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.69,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.72,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.75,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.78,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.70,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.73,0.43
0.45,0.50,0.50,0.50,0.54,0.50,0.50,0.66,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.66,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.69,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.72,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.65,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.58,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.63,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.56,0.43
0.45,0.50,0.50,0.55,0.54,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.54,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.58,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.52,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.57,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.61,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.65,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.59,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.63,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.67,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.70,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.63,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.67,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.70,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.73,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.66,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.69,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.62,0.50,0.50,0.51,0.43
0.45,0.50,0.50,0.49,0.62,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.56,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.60,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.64,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.58,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.62,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.66,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.69,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.72,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.75,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.78,0.50,0.50,0.51,0.49
0.45,0.50,0.50,0.49,0.78,0.50,0.50,0.46,0.49
0.45,0.50,0.50,0.49,0.80,0.50,0.50,0.46,0.49
0.45,0.50,0.50,0.49,0.82,0.50,0.50,0.46,0.49
0.45,0.50,0.50,0.49,0.84,0.50,0.50,0.46,0.49
0.45,0.50,0.50,0.49,0.85,0.50,0.50,0.46,0.49
0.45,0.55,0.50,0.49,0.85,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.85,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.87,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.88,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.89,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.90,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.91,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.82,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.74,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.77,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.79,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.71,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.64,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.68,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.71,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.74,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.66,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.60,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.64,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.67,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.61,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.65,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.58,0.50,0.50,0.46,0.49
0.45,0.49,0.50,0.49,0.62,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.62,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.66,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.69,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.73,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.65,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.59,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.53,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.58,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.52,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.57,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.51,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.56,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.60,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.64,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.58,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.62,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.56,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.50,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.55,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.50,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.55,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.59,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.63,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.67,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.60,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.64,0.50,0.50,0.46,0.49
0.45,0.49,0.45,0.49,0.64,0.50,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.64,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.68,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.71,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.74,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.77,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.79,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.71,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.64,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.68,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.71,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.74,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.76,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.79,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.81,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.73,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.75,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.68,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.61,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.65,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.69,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.72,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.74,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.67,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.60,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.54,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.50,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.55,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.60,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.64,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.67,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.70,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.63,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.67,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.67,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.70,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.63,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.57,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.61,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.65,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.59,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.53,0.46,0.44
0.51,0.49,0.45,0.49,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.49,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.54,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.59,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.63,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.57,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.51,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.56,0.49,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.56,0.54,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.60,0.54,0.45,0.48,0.46,0.44
0.45,0.49,0.45,0.60,0.54,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.60,0.59,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.54,0.59,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.54,0.53,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.59,0.53,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.53,0.53,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.48,0.53,0.45,0.53,0.46,0.44
0.45,0.49,0.45,0.48,0.53,0.45,0.47,0.46,0.44
0.45,0.49,0.45,0.48,0.57,0.45,0.47,0.46,0.44
0.45,0.49,0.45,0.48,0.62,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.48,0.62,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.48,0.56,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.48,0.50,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.48,0.50,0.45,0.47,0.46,0.49
0.45,0.44,0.45,0.48,0.55,0.45,0.47,0.46,0.49
0.45,0.44,0.45,0.48,0.49,0.45,0.47,0.46,0.49
0.45,0.44,0.45,0.48,0.45,0.45,0.47,0.46,0.49
0.45,0.44,0.45,0.48,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.53,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.53,0.45,0.45,0.53,0.46,0.44
0.45,0.44,0.45,0.58,0.45,0.45,0.53,0.46,0.44
0.45,0.44,0.45,0.52,0.45,0.45,0.53,0.46,0.44
0.45,0.44,0.45,0.52,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.57,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.51,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.46,0.45,0.45,0.47,0.46,0.44
0.45,0.44,0.45,0.46,0.45,0.45,0.43,0.46,0.44
0.45,0.44,0.45,0.46,0.40,0.45,0.43,0.46,0.44
0.45,0.44,0.45,0.51,0.40,0.45,0.43,0.46,0.44
0.45,0.44,0.45,0.51,0.40,0.45,0.48,0.46,0.44
0.45,0.44,0.45,0.46,0.40,0.45,0.48,0.46,0.44
0.45,0.44,0.45,0.46,0.40,0.45,0.44,0.46,0.44
0.45,0.44,0.45,0.42,0.40,0.45,0.44,0.46,0.44
0.45,0.44,0.45,0.42,0.40,0.45,0.44,0.51,0.44
0.45,0.44,0.45,0.42,0.40,0.45,0.44,0.51,0.50
0.45,0.44,0.45,0.42,0.40,0.45,0.44,0.46,0.50
0.45,0.44,0.45,0.42,0.40,0.45,0.44,0.46,0.55
0.45,0.44,0.45,0.42,0.40,0.51,0.44,0.46,0.55
0.45,0.44,0.45,0.42,0.40,0.51,0.44,0.46,0.49
0.45,0.44,0.45,0.42,0.40,0.55,0.44,0.46,0.49
0.45,0.44,0.45,0.42,0.40,0.60,0.44,0.46,0.49
0.45,0.44,0.45,0.42,0.40,0.54,0.44,0.46,0.49
0.45,0.44,0.45,0.42,0.40,0.49,0.44,0.46,0.49
0.45,0.44,0.41,0.42,0.40,0.49,0.44,0.46,0.49
0.45,0.44,0.41,0.42,0.40,0.49,0.44,0.46,0.45
0.45,0.44,0.41,0.42,0.40,0.44,0.44,0.46,0.45
0.45,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.51,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.56,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.50,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.55,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.60,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.64,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.67,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.61,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.65,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.68,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.71,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.74,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.67,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.60,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.54,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.59,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.63,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.67,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.60,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.54,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.58,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.63,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.56,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.51,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.56,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.60,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.64,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.68,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.61,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.65,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.58,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.63,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.66,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.60,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.54,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.48,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.43,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.45
0.43,0.44,0.41,0.42,0.40,0.44,0.44,0.41,0.40
0.43,0.40,0.41,0.42,0.40,0.44,0.44,0.41,0.40
0.43,0.40,0.41,0.42,0.40,0.44,0.44,0.41,0.36
0.43,0.40,0.41,0.42,0.40,0.49,0.44,0.41,0.36
0.43,0.40,0.41,0.42,0.40,0.44,0.44,0.41,0.36
0.43,0.40,0.41,0.42,0.40,0.40,0.44,0.41,0.36
0.43,0.40,0.41,0.42,0.40,0.40,0.39,0.41,0.36
0.49,0.40,0.41,0.42,0.40,0.40,0.39,0.41,0.36
0.54,0.40,0.41,0.42,0.40,0.40,0.39,0.41,0.36
0.54,0.40,0.41,0.42,0.40,0.40,0.39,0.47,0.36
0.54,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.36
0.49,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.36
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.36
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.52,0.36
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.57,0.36
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.62,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.62,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.55,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.60,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.54,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.58,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.36
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.32
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.57,0.32
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.62,0.32
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.62,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.55,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.60,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.64,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.58,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.62,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.56,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.60,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.54,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.59,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.55,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.49,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.53,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.47,0.29
0.44,0.36,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.50,0.36,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.55,0.36,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.59,0.36,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.59,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.53,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.58,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.62,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.66,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.69,0.42,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.69,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.62,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.56,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.51,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.56,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.50,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.55,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.49,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.45,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.50,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.55,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.60,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.54,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.48,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.43,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.49,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.54,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.49,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.44,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.49,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.45,0.38,0.41,0.42,0.40,0.40,0.39,0.43,0.29
0.45,0.38,0.41,0.42,0.36,0.40,0.39,0.43,0.29
0.40,0.38,0.41,0.42,0.36,0.40,0.39,0.43,0.29
0.40,0.38,0.41,0.42,0.36,0.40,0.39,0.48,0.29
0.40,0.38,0.41,0.42,0.36,0.40,0.39,0.54,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.54,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.58,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.52,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.57,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.51,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.56,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.51,0.29
0.40,0.38,0.41,0.42,0.36,0.46,0.39,0.46,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.46,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.51,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.56,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.60,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.54,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.49,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.44,0.29
0.40,0.38,0.41,0.42,0.36,0.41,0.39,0.50,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.50,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.55,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.49,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.54,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.49,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.54,0.29
0.40,0.38,0.41,0.47,0.36,0.41,0.39,0.49,0.29
